2024-02-08 01:25:30,796 [] [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-02-08 01:25:30,844 [] [main] INFO  [o.s.d.r.config.RepositoryConfigurationDelegate] RepositoryConfigurationDelegate.java:201 - Finished Spring Data repository scanning in 37 ms. Found 0 Redis repository interfaces.
2024-02-08 01:25:32,628 [] [main] INFO  [o.s.b.f.a.AutowiredAnnotationBeanPostProcessor] AutowiredAnnotationBeanPostProcessor.java:496 - Autowired annotation is not supported on static methods: public static void cn.skuu.common.util.SystemUtil.setEnv(java.lang.String)
2024-02-08 01:25:36,434 [] [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] DnsServerAddressStreamProviders.java:70 - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS.
2024-02-08 01:25:38,149 [] [main] INFO  [cn.skuu.adapter.UserAdapterTest] StartupInfoLogger.java:61 - Started UserAdapterTest in 9.426 seconds (JVM running for 10.698)
2024-02-08 01:25:38,354 [] [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:305 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.skuu.SkuuApplicationTests], using SpringBootContextLoader
2024-02-08 01:25:38,357 [] [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [cn.skuu.SkuuApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-02-08 01:25:38,357 [] [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [cn.skuu.SkuuApplicationTests]: SkuuApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-02-08 01:25:38,380 [] [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:238 - Found @SpringBootConfiguration cn.skuu.SkuuApplication for test class cn.skuu.SkuuApplicationTests
2024-02-08 01:25:38,389 [] [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:245 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2024-02-08 01:25:38,391 [] [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:174 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@76d0a290, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@ea84346, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4e614370, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1e1ea16d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6da9541c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2157889c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@65e92505, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@e97f51c, org.springframework.test.context.event.EventPublishingTestExecutionListener@29394966, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@343727b5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@18dafd3b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2954c429, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4a45ca1c, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4742466e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@83e5898]
